,Platform,Year,Genre,Publisher,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC,freq_name
4383,GC,2003,Action,Kemco,0.08,29.0,14.0,3.0,22.0,5.0,1.0,12.0,3.0,Autre,français,français,2.0
4384,DS,2008,Adventure,Game Factory,0.08,51.0,11.0,6.3,4.0,9.0,26.0,9.2,12.0,Cartouche,français,français,2.0
4385,PC,2011,Action,Kalypso Media,0.08,57.0,19.0,6.0,79.0,11.0,9.0,11.4,16.0,DVD,anglais,français,3.0
4386,XB,2003,Shooter,Vivendi Games,0.08,63.0,25.0,7.4,5.0,10.0,3.0,16.3,7.0,Autre,français,français,2.0
4387,XOne,2016,Shooter,Take-Two Interactive,0.08,84.0,17.0,8.6,225.0,17.0,35.0,17.5,18.0,Autre,français,français,3.0
4388,GC,2006,Action,Eidos Interactive,0.08,78.0,6.0,8.1,11.0,15.0,127.0,16.3,16.0,Blu-Ray,français,français,2.0
4389,PSV,2015,Action,PQube,0.08,72.0,7.0,8.1,22.0,10.0,2.0,17.5,3.0,PlayStation Store,français,français,3.0
4390,PSP,2007,Puzzle,Mumbo Jumbo,0.08,51.0,10.0,6.0,4.0,10.0,3.0,6.0,3.0,UMD,français,français,1.0
4391,Wii,2008,Adventure,Konami Digital Entertainment,0.08,54.0,11.0,6.0,6.0,10.0,6.0,10.3,7.0,DVD,français,français,3.0
4392,GC,2002,Platform,Atari,0.08,61.0,5.0,7.1,7.0,11.0,22.0,16.5,3.0,Autre,français,français,4.0
4393,XB,2005,Action,THQ,0.08,66.0,34.0,7.2,6.0,8.0,3.0,16.0,18.0,Autre,anglais,anglais,2.0
4394,PC,2008,Racing,Electronic Arts,0.08,65.0,18.0,5.3,387.0,10.0,170.0,10.3,12.0,DVD,français,français,2.0
4395,GC,2002,Role-Playing,Ubisoft,0.08,63.0,20.0,8.3,13.0,11.0,4.0,14.5,3.0,Autre,anglais,anglais,1.0
4396,PSP,2006,Adventure,THQ,0.08,54.0,7.0,8.0,5.0,10.0,2.0,15.5,3.0,Autre,français,français,4.0
4397,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.08,62.0,9.0,7.2,6.0,12.0,14.0,14.4,12.0,Blu-Ray,français,français,2.0
4398,PSP,2007,Fighting,Sony Computer Entertainment,0.08,58.0,34.0,7.0,65.0,11.0,2.0,18.0,3.0,UMD,japonais,japonais,4.0
4399,X360,2006,Action,Tecmo Koei,0.08,52.0,30.0,8.4,21.0,14.0,20.0,17.6,12.0,Autre,anglais,anglais,1.0
4400,PSP,2007,Role-Playing,Sega,0.08,51.0,20.0,6.4,11.0,9.0,5.0,10.8,12.0,UMD,français,français,3.0
4401,PS4,2014,Sports,Unknown,0.08,66.0,11.0,6.4,70.0,11.0,4.0,16.8,3.0,PlayStation Store,anglais,anglais,3.0
4402,Wii,2008,Adventure,The Adventure Company,0.08,50.0,23.0,6.2,12.0,13.0,13.0,12.5,12.0,DVD,français,français,3.0
4403,PS2,2000,Racing,Midas Interactive Entertainment,0.08,67.0,10.0,6.9,9.0,11.0,0.0,15.0,3.0,Cartouche,français,français,4.0
4404,GC,2003,Role-Playing,Sega,0.08,71.0,24.0,8.3,16.0,15.0,21.0,16.9,3.0,Autre,anglais,français,1.0
4405,PSP,2010,Fighting,Sony Computer Entertainment,0.08,58.0,34.0,7.0,65.0,11.0,35.0,13.0,3.0,UMD,français,français,4.0
4406,3DS,2016,Action,505 Games,0.08,71.0,6.0,7.4,28.0,11.0,7.0,12.1,12.0,Autre,français,français,4.0
4407,3DS,2012,Action,Namco Bandai Games,0.08,52.0,4.0,5.4,9.0,11.0,0.0,15.0,3.0,Cartouche,français,français,4.0
