,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_NP,Meta_VP,Meta_NUsers,Meta_VUsers,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC,langue_parlée_JVC,texte_JVC
2838,Tiger Woods PGA Tour 07,PS2,2006.0,Sports,Electronic Arts,0.6,0.02,0.0,0.1,0.72,79.0,33.0,6.0,8.0,14.0,7.0,17.6,3.0,DVD,anglais,anglais
2842,Major League Baseball 2K7,X360,2007.0,Sports,Spike,0.67,0.0,0.0,0.05,0.72,79.0,31.0,7.1,35.0,11.0,0.0,15.0,3.0,Autre,français,français
2843,X-Men: Mutant Academy 2,PS,2001.0,Fighting,Activision,0.4,0.27,0.0,0.05,0.72,72.0,12.0,8.3,30.0,11.0,19.0,14.9,3.0,CD,anglais,français
2844,Terraria,X360,2013.0,Action,505 Games,0.35,0.31,0.0,0.06,0.72,81.0,39.0,7.3,155.0,16.0,15.0,18.4,12.0,Autre,français,français
2846,Kangaroo,2600,1982.0,Platform,Atari,0.67,0.04,0.0,0.01,0.72,46.0,4.0,5.4,76.0,14.0,1.0,18.0,3.0,Autre,français,français
2847,James Bond 007: Blood Stone,PS3,2010.0,Shooter,Activision,0.18,0.38,0.02,0.13,0.72,65.0,49.0,7.4,67.0,13.0,100.0,15.1,16.0,Blu-Ray,français,français
2848,Ben 10: Protector of Earth,PSP,2007.0,Action,D3Publisher,0.23,0.31,0.0,0.18,0.72,60.0,4.0,7.7,40.0,9.0,8.0,12.3,3.0,UMD,anglais,français
2849,Skate,X360,2007.0,Sports,Electronic Arts,0.62,0.04,0.0,0.06,0.72,86.0,59.0,8.5,155.0,16.0,124.0,17.6,12.0,DVD Blu-Ray,français,français
2851,Driver: San Francisco,X360,2011.0,Racing,Ubisoft,0.25,0.39,0.0,0.08,0.72,80.0,63.0,7.8,157.0,16.0,207.0,16.6,12.0,Blu-Ray DVD,français,français
2852,MLB 09: The Show,PS3,2009.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.72,90.0,27.0,8.1,61.0,11.0,0.0,15.0,3.0,Blu-Ray,français,français
2853,Monster Hunter Tri,WiiU,2012.0,Role-Playing,Nintendo,0.26,0.19,0.22,0.04,0.72,82.0,55.0,8.3,330.0,18.0,232.0,17.5,16.0,Autre,français,français
3118,Fire Emblem: Shadow Dragon,DS,2008.0,Role-Playing,Nintendo,0.31,0.03,0.27,0.03,0.65,81.0,42.0,7.1,182.0,15.0,4.0,18.8,3.0,Autre,anglais,anglais
3120,Drakengard,PS2,2003.0,Role-Playing,Square Enix,0.19,0.15,0.26,0.05,0.65,63.0,55.0,8.0,152.0,16.0,80.0,16.7,16.0,DVD,anglais,français
3121,SingStar Pop Hits,PS2,2007.0,Misc,Sony Computer Entertainment,0.0,0.5,0.0,0.15,0.65,73.0,13.0,7.3,12.0,13.0,13.0,14.2,12.0,Autre,français,français
3123,Champions: Return to Arms,PS2,2005.0,Role-Playing,Sony Online Entertainment,0.32,0.25,0.0,0.08,0.65,77.0,48.0,8.2,56.0,17.0,70.0,17.8,12.0,DVD,français,français
3124,Harry Potter and the Goblet of Fire,PS2,2005.0,Action,Electronic Arts,0.54,0.02,0.0,0.09,0.65,68.0,29.0,6.2,73.0,13.0,125.0,11.4,7.0,Autre,français,français
3127,MX vs. ATV Untamed,PSP,2007.0,Racing,THQ,0.35,0.18,0.0,0.12,0.65,59.0,12.0,7.5,4.0,12.0,17.0,12.5,3.0,UMD,français,français
3129,Dead or Alive 5,PS3,2012.0,Fighting,Tecmo Koei,0.23,0.15,0.2,0.07,0.65,74.0,34.0,7.7,121.0,17.0,101.0,16.6,16.0,Blu-Ray,anglais,français
3130,Star Ocean: First Departure,PSP,2007.0,Role-Playing,Square Enix,0.2,0.14,0.22,0.09,0.65,74.0,32.0,7.6,38.0,15.0,26.0,16.4,12.0,UMD,français,français
3131,Super Robot Taisen Impact,PS2,2002.0,Strategy,Banpresto,0.0,0.0,0.65,0.0,0.65,82.0,7.0,8.4,10.0,11.0,0.0,15.0,3.0,CD,français,français
3134,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.65,0.0,0.65,78.0,4.0,8.0,4.0,11.0,3.0,17.7,3.0,Cartouche,français,français
3135,Sengoku Basara: Samurai Heroes,PS3,2010.0,Action,Capcom,0.17,0.04,0.4,0.03,0.65,61.0,37.0,8.1,39.0,13.0,58.0,16.3,16.0,Blu-Ray,anglais,français
3139,Crash Bandicoot Purple: Ripto's Rampage,GBA,2004.0,Platform,Vivendi Games,0.46,0.17,0.0,0.01,0.64,67.0,23.0,6.2,34.0,13.0,13.0,14.4,3.0,Cartouche,français,français
