,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
9499,Rock Band Track Pack Volume 2,PS3,2008.0,Misc,MTV Games,0.11,0.0,0.0,0.01,0.13,,,,,,,,,,,--,(1),16,+12 ans,,,DVD,
9500,City Crisis,PS2,2001.0,Simulation,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13,,,,,,,,,,,11,(10),9.9,+3 ans,Non,Jouable en solo,CD,Voix en français Textes en français
9501,Zapper: One Wicked Cricket!,GC,2002.0,Platform,Infogrames,0.1,0.03,0.0,0.0,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9502,Star Wars: Clone Wars,XB,2003.0,Shooter,LucasArts,0.1,0.03,0.0,0.0,0.13,,,,,Série d'animation en 3D,,,,,,13,(47),16.7,+7 ans,,Jouable en solo Multi en local,UMD Blu-Ray DVD Cartouche,Voix en français Textes en français
9503,Assassination Classroom: Grand Siege on Kuro-sensei,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9504,Dynasty Warriors 5 Empires,X360,2006.0,Action,Tecmo Koei,0.11,0.01,0.0,0.01,0.13,,,,,,,,,,,--,(2),16,,,,,
9505,High Rollers Casino,XB,2004.0,Misc,Mud Duck Productions,0.1,0.03,0.0,0.0,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9506,Advent Rising,XB,2005.0,Action,THQ,0.1,0.03,0.0,0.0,0.13,,,,,,,,,,,10,(7),15.9,+12 ans,,Jouable en solo,DVD CD,Voix en français Textes en français Voix en anglais
9507,Surf Riders,PS,1999.0,Sports,Ubisoft,0.07,0.05,0.0,0.01,0.13,,,,,,,,,,,13,(8),12.9,+3 ans,Non,Jouable en solo,CD,Textes en anglais
9508,Torino 2006,PS2,2006.0,Sports,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13,,,,,,,,,,,14,(22),14.5,+3 ans,2 à 4 joueurs,,CD,Voix en français Textes en français
9509,Nobunaga no Yabou: Ranseiki,PS2,2002.0,Strategy,Tecmo Koei,0.0,0.0,0.13,0.0,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9510,Derby Stallion Advance,GBA,2002.0,Sports,Enterbrain,0.0,0.0,0.12,0.0,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9511,PBR: Out of the Chute,Wii,2008.0,Sports,Crave Entertainment,0.12,0.0,0.0,0.01,0.13,,,,,,,,,,,--,(0),--,,,,DVD,
9512,Monopoly Party,GC,2002.0,Misc,Infogrames,0.1,0.03,0.0,0.0,0.13,,,,,,,,,,,8,(6),14.5,+3 ans,,,DVD,Voix en anglais Textes en anglais
9513,LEGO Batman 2: DC Super Heroes,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.05,0.07,0.0,0.01,0.13,,,,,,,,,,,--,(1),15,+9 ans,,,,
9514,Thor: God of Thunder,DS,2011.0,Action,Sega,0.09,0.03,0.0,0.01,0.13,,,,,,,,,,,10,(5),13.6,+12 ans,non,Jouable en solo,Cartouche,
9515,TOCA Race Driver 2: Ultimate Racing Simulator,XB,2004.0,Racing,Codemasters,0.09,0.03,0.0,0.0,0.13,,,,,,,,,,,16,(20),17,+12 ans,,Multi sur le même écran Multi en local Multi en ligne,DVD UMD CD,Voix en français Textes en français
9516,The Price is Right: Decades,Wii,2011.0,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13,,,,,,,,,,,--,(0),--,,,,DVD,
9517,Snood,GBA,2001.0,Puzzle,"Destination Software, Inc",0.09,0.03,0.0,0.0,0.13,,,,,,,,,,,--,no_data,no_data,,,,App Store,
9518,The Sky Crawlers: Innocent Aces,Wii,2008.0,Simulation,Namco Bandai Games,0.09,0.02,0.01,0.01,0.13,,,,,,,,,,,15,(24),17.2,+12 ans,possibilité de venir en aide au joueur principal,,DVD,Textes en français Voix en anglais
9519,Avatar: The Last Airbender - Into the Inferno,DS,2008.0,Adventure,THQ,0.11,0.01,0.0,0.01,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9520,Fit in Six,PS3,2011.0,Sports,Ubisoft,0.12,0.0,0.0,0.01,0.13,,,,,,,,,,,--,(0),--,+3 ans,,,Blu-Ray,
9521,Monster Jam: Urban Assault,PS2,2008.0,Racing,Activision,0.06,0.05,0.0,0.02,0.13,,,,,,,,,,,8,(5),16.6,+3 ans,De 2 à 4 joueurs,,DVD,Voix en français Textes en français
9522,Ice Age: Dawn of the Dinosaurs,X360,2009.0,Action,Activision,0.09,0.03,0.0,0.01,0.13,,,,,,,,,,,--,(4),17,,,,,
9523,DT Racer,PS2,2005.0,Racing,XS Games,0.06,0.05,0.0,0.02,0.13,,,,,,,,,,,3,(5),1.2,+3 ans,2 joueurs,,CD,Voix en anglais Textes en anglais
9524,SimAnimals Africa,Wii,2009.0,Simulation,Electronic Arts,0.1,0.01,0.0,0.01,0.13,,,,,,,,,,,13,(8),14,+3 ans,non,Jouable en solo,DVD,
9525,Deepak Chopra's Leela,X360,2011.0,Misc,THQ,0.07,0.05,0.0,0.01,0.13,,,,,,,,,,,--,(1),16,+3 ans,,,,
9526,Twister Mania,X360,2011.0,Misc,505 Games,0.1,0.01,0.0,0.01,0.13,,,,,,,,,,,--,(1),15,+3 ans,Huit joueurs en local,,,
9527,World Cup Golf: Professional Edition,PS,1995.0,Sports,U.S. Gold,0.07,0.05,0.0,0.01,0.13,Arc Developments,,,,,,,,,,no_data,no_data,no_data,,,,,
9528,Black Dawn,PS,1996.0,Simulation,Virgin Interactive,0.07,0.05,0.0,0.01,0.13,,,,,,,,,,,--,(0),--,,,Jouable en solo,CD,Voix en anglais Textes en anglais
9529,Soccer Tsuku: Pro Soccer Club o Tsukurou!,PS3,2013.0,Sports,Sega,0.0,0.0,0.13,0.0,0.13,,,,,,,,,,,--,(0),--,,,,GDROM,
9530,428: Fuusa Sareta Shibuya de,Wii,2008.0,Adventure,Sega,0.0,0.0,0.13,0.0,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9531,Kelly Slater's Pro Surfer,GBA,2002.0,Sports,Activision,0.09,0.03,0.0,0.0,0.13,,,,,,,,,,,15,(1),15,+3 ans,2 joueurs,,,
9532,Warriors of Might and Magic,PS,2001.0,Adventure,3DO,0.07,0.05,0.0,0.01,0.13,,,,,,,,,,,8,(13),6.6,+3 ans,,Jouable en solo,CD DVD,Textes en français
9533,Drome Racers,PS2,2002.0,Racing,Electronic Arts,0.06,0.05,0.0,0.02,0.13,,,,,,,,,,,11,no_data,no_data,+3 ans,2 joueurs,,CD,Voix en français Textes en français
9534,X-Men: Next Dimension,GC,2002.0,Fighting,Activision,0.1,0.03,0.0,0.0,0.13,,,,,,,,,,,10,(24),14.8,+3 ans,,,CD Nintendo Game Disc DVD,Textes en français Voix en anglais Textes en anglais
9535,Impossible Mission,DS,2007.0,Platform,System 3 Arcade Software,0.12,0.0,0.0,0.01,0.13,,,,,,,,,,,--,no_data,no_data,+3 ans,,,,
9536,Cabela's Dangerous Hunts 2011,DS,2010.0,Sports,Activision,0.12,0.0,0.0,0.01,0.13,,,,,,,,,,,15,(0),--,,,,,
9537,Garfield's Fun Fest,DS,2008.0,Platform,Zoo Digital Publishing,0.07,0.04,0.0,0.01,0.13,,,,,,,,,,,6,(2),6,+3 ans,,,Cartouche,Textes en français
9538,7th Dragon 2020-II,PSP,2013.0,Role-Playing,Sega,0.0,0.0,0.13,0.0,0.13,,,,,"7th Dragon 2020-II · Genre: Jeu-de-Role , Action · Nb de joueurs: · Plateforme: Playstation Portable - PSP · Date de sortie FR: Date inconnue ...",,,,,,--,(0),--,,,,,
9539,Doukyuusei 2,SAT,1997.0,Role-Playing,NEC Interchannel,0.0,0.0,0.13,0.0,0.13,,,,,,,,,,,--,(0),--,,,,,
9540,SkullMonkeys,PS,1998.0,Platform,DreamWorks Interactive,0.07,0.05,0.0,0.01,0.13,,,,,,,,,,,17,(10),19,,,,,
9541,Cloudy With a Chance of Meatballs,Wii,2009.0,Platform,Ubisoft,0.11,0.0,0.0,0.01,0.13,,,,,,,,,,,--,(1),15,+3 ans,,,Cartouche,Voix en français Textes en français
9542,Burnout,XB,2002.0,Racing,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.13,,,,,,,,,,,15,(48),15.5,+3 ans,,,CD DVD Nintendo Game Disc,Voix en français Textes en français
9543,Zenses: Ocean,DS,2008.0,Puzzle,Game Factory,0.11,0.01,0.0,0.01,0.13,,,,,,,,,,,12,(3),10,+3 ans,non,Jouable en solo,,
9544,Ben 10 Galactic Racing,Wii,2011.0,Racing,D3Publisher,0.08,0.03,0.0,0.01,0.13,,,,,,,,,,,--,no_data,no_data,+7 ans,oui,,DVD,
9545,Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009.0,Action,Ubisoft,0.12,0.0,0.0,0.01,0.13,,,,,,,,,,,--,(4),14.3,+12 ans,2 joueurs,,Cartouche,Textes en français
9546,Baroque,PS2,2007.0,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13,,,,,,,,,,,--,(2),19,+12 ans,,,DVD,
9547,Left Brain Right Brain 2,DS,2008.0,Misc,Majesco Entertainment,0.12,0.0,0.0,0.01,0.13,,,,,,,,,,,--,no_data,no_data,,,,,
9548,Dynasty Warriors: Gundam Reborn,PSV,2013.0,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,,,,,,12,(6),14.8,+12 ans,,Multi en ligne Multi en coopératif,Blu-Ray New Game Media,
9549,Kidz Sports: Crazy Golf,Wii,2008.0,Sports,Data Design Interactive,0.11,0.0,0.0,0.01,0.13,,,,3+. Accessoires compatibles : WiiMotion Plus ...,,,,,,,--,(2),2.5,+7 ans,,,DVD,
9550,Little Battlers eXperience: Wars,3DS,2013.0,Strategy,Level 5,0.0,0.0,0.13,0.0,0.13,,,,,Little Battlers eXperience,,,,,,15,(5),17.8,+7 ans,6 joueurs en local,Jouable en solo Multi en local,eShop Cartouche,Textes en français Voix en anglais
9551,Victorious: Time to Shine,X360,2011.0,Action,D3Publisher,0.12,0.0,0.0,0.01,0.13,,,,,,,,,,,--,no_data,no_data,,,,,
9552,NBA Ballers: Phenom,XB,2006.0,Sports,Midway Games,0.09,0.03,0.0,0.0,0.13,,,,,,,,,,,--,(2),20,+3 ans,,,DVD,
9553,Aikatsu! 365 Idol Days,3DS,2014.0,Adventure,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9554,Petz Puppyz & Kittenz,DS,2011.0,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9555,Crash Tag Team Racing,XB,2005.0,Racing,Vivendi Games,0.09,0.03,0.0,0.0,0.13,Radical Entertainment,,,,Crash Bandicoot,,,,,,14,(13),16.8,+3 ans,,,Cartouche Nintendo Game Disc DVD UMD,Voix en français Textes en français
9556,Freedom Fighters,GC,2003.0,Shooter,Electronic Arts,0.1,0.03,0.0,0.0,0.13,IO Interactive,,,,,Multijoueur,,,,,16,(48),17.5,+16 ans,,Jouable en solo,CD DVD Nintendo Game Disc,Voix en français Textes en français
9557,The Stronghold Collection,PC,2009.0,Strategy,Take-Two Interactive,0.03,0.08,0.0,0.02,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9558,Operation Abyss: New Tokyo Legacy,PSV,2014.0,Role-Playing,Nippon Ichi Software,0.04,0.01,0.06,0.02,0.13,,,,,,,,,,,13,(3),15,,,,New Game Media PlayStation Store,Voix en anglais Textes en anglais
9559,Transformer: Rise of the Dark Spark,PS3,2014.0,Action,Activision,0.04,0.05,0.01,0.02,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9560,Mega Man X Collection,GC,2006.0,Misc,Capcom,0.1,0.03,0.0,0.0,0.13,,,,,,,,,,,--,(4),20,,,,DVD Nintendo Game Disc,
9561,Detana TwinBee Yahho! Deluxe Pack,SAT,1995.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9562,Dragon Ball: Origins,DS,2008.0,Action,Atari,0.09,0.03,0.0,0.01,0.13,,,,,,,,,,,14,(59),16.4,+12 ans,2 joueurs,,Cartouche,Textes en français Voix en anglais
9563,Last Ranker,PSP,2010.0,Role-Playing,Capcom,0.0,0.0,0.13,0.0,0.13,,,,,,,,,,,--,(1),20,,,,UMD,
9564,Quantum Redshift,XB,2002.0,Racing,Microsoft Game Studios,0.09,0.03,0.0,0.0,0.13,,,,,,,,,,,12,(33),15.9,+12 ans,2 à 4 joueurs,,DVD,Voix en anglais Textes en anglais
9565,Smash Court Tennis Pro Tournament 2,PS2,2004.0,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,,,,,,,,,,,18,(73),17.4,+3 ans,4 joueurs via le multitap,,DVD,
9566,Eat Lead: The Return of Matt Hazard,X360,2009.0,Shooter,D3Publisher,0.1,0.01,0.0,0.01,0.13,,,,,,,,,,,10,(31),11.9,+16 ans,,Jouable en solo,DVD Blu-Ray,Voix en français Textes en français
9567,Battleborn,XOne,2016.0,Shooter,Take-Two Interactive,0.08,0.04,0.0,0.01,0.13,"pire encore, il s'est fait totalement ...",,,,,,,,,,13,(23),17.4,,,,,
9568,Legends of Wrestling II,XB,2002.0,Fighting,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.13,,,,,,Single-player; Multiplayer; Online multi...,,,,,7,(8),13.8,,,,DVD CD Nintendo Game Disc,Voix en anglais Textes en anglais
9569,Power Pro Kun Pocket 13,DS,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,,,,,,,,,,,--,(0),--,,,,Cartouche,
9570,Armed and Dangerous,XB,2003.0,Shooter,LucasArts,0.09,0.03,0.0,0.0,0.13,,,,,,,,,,,12,(10),16.4,+12 ans,,Jouable en solo,CD DVD,Voix en français Textes en français
9571,Jurassic: The Hunted,X360,2009.0,Shooter,Activision,0.12,0.0,0.0,0.01,0.13,,,,,,,,,,,13,(1),18,,,,Blu-Ray DVD,
9572,Adventures to Go!,PSP,2008.0,Role-Playing,Zushi Games,0.1,0.0,0.01,0.01,0.13,,,,,,,,,,,--,(2),11,+12 ans,,,UMD,
9573,Conduit 2,Wii,2011.0,Shooter,Sega,0.07,0.04,0.0,0.01,0.13,,,,,,,,,,,15,(99),16.4,+16 ans,2 à 4 joueurs en écran partagé et online,Multi sur le même écran Multi en ligne,DVD,Textes en français Voix en anglais
9574,Supremacy MMA,PS3,2011.0,Fighting,505 Games,0.06,0.04,0.0,0.02,0.13,,,,,,,,,,,9,(22),8.5,+18 ans,2 joueurs offline ou online,Multi en ligne,Blu-Ray,Voix en français Textes en français
9575,World Soccer Winning Eleven 2002,PS,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.01,0.13,,,,,,,,,,,no_data,no_data,no_data,,,,,
9576,Geometry Wars: Galaxies,Wii,2007.0,Shooter,Vivendi Games,0.11,0.0,0.0,0.01,0.13,,,,,,,,,,,15,(18),16.7,+3 ans,2 joueurs sur le même écran ou online,Multi sur le même écran Multi en ligne,DVD,
9577,Actua Tennis,PS,1997.0,Sports,Gremlin Interactive Ltd,0.07,0.05,0.0,0.01,0.13,Gremlin Graphics Software,,,,Actua Sports,,,,,,8,(13),13.2,+3 ans,,,CD,Voix en français Textes en français Voix en anglais Textes en anglais
9578,Horse Life,DS,2007.0,Simulation,Game Life,0.09,0.02,0.0,0.01,0.13,,,,,,,,,,,10,(35),15.7,+3 ans,non,Jouable en solo,,
9579,Monster Truck Madness,GBA,2003.0,Racing,THQ,0.09,0.03,0.0,0.0,0.12,,,,,,,,,,,--,(2),15,,oui,,CD,
9580,Sonic Jam,SAT,1997.0,Platform,Sega,0.0,0.0,0.12,0.0,0.12,,,,,,,,,,,--,(7),17.9,+3 ans,,,CD,
9581,Puella Magi Madoka Magica Portable,PSP,2012.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,"Japonaise · Compatible: Tous les PSP US, EU, AT, Japan - RegionFree ...",,,,,,,,--,(0),--,,,,,
9582,Ninja Reflex,Wii,2008.0,Action,Electronic Arts,0.11,0.01,0.0,0.01,0.12,,,,,,,,,,,7,(2),11,+7 ans,jusqu'à 4 joueurs,,DVD,Voix en français Textes en français
9583,Peter Jacobsen's Golden Tee Golf,PS,2000.0,Sports,Infogrames,0.07,0.05,0.0,0.01,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9584,Calling,Wii,2009.0,Adventure,Konami Digital Entertainment,0.07,0.04,0.0,0.01,0.12,,,,,,,,,,,13,(51),15.2,+12 ans,Non,Jouable en solo,DVD,
9585,Marvel Avengers: Battle for Earth,WiiU,2012.0,Action,Ubisoft,0.07,0.04,0.0,0.01,0.12,,,,,,,,,,,13,(9),10.3,+12 ans,Jusqu'à 4 joueurs + online,Multi en ligne,iDensity,Voix en français Textes en français
9586,Disney's Atlantis: The Lost Empire,GBA,2001.0,Platform,THQ,0.09,0.03,0.0,0.0,0.12,"3d6 Games, Eurocom",,,,,,,,,,8,(10),13.9,+3 ans,2 à 12 joueurs,,CD,Voix en français Textes en français
9587,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998.0,Sports,Sega,0.0,0.0,0.12,0.0,0.12,Enix,,,,,,,,,,no_data,no_data,no_data,,,,,
9588,Charm Girls Club: My Fashion Mall,DS,,Simulation,Unknown,0.12,0.0,0.0,0.01,0.12,,,,,,,,,,,--,(1),10,,,,,
9589,Where the Wild Things Are,Wii,2009.0,Platform,Warner Bros. Interactive Entertainment,0.11,0.0,0.0,0.01,0.12,,,,,,,,,,,12,no_data,no_data,+12 ans,non,Jouable en solo,DVD,
9590,High Velocity: Mountain Racing Challenge,SAT,1995.0,Racing,Atlus,0.0,0.0,0.12,0.0,0.12,,,,,,,,,,,--,(0),--,,,,CD,
9591,NHL 2K7,PS3,2006.0,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12,,,,,,,,,,,17,(7),17.1,+16 ans,jusqu'à 4 joueurs Offline et 8 joueurs Online,Multi en ligne,,
9592,Resident Evil,PS3,2006.0,Action,Capcom,0.0,0.0,0.12,0.0,0.12,,,,,,,,,,,16,(142),16.3,+16 ans,,Jouable en solo,DVD,Textes en français Voix en anglais
9593,Capcom vs. SNK 2: Millionaire Fighting 2001,DC,2001.0,Fighting,Capcom,0.0,0.0,0.12,0.0,0.12,Capcom ; Système : Naomi ...,,,,,,,,,,15,(9),16.3,+12 ans,,,Nintendo Game Disc DVD,Voix en français Textes en français Textes en anglais
9594,Criticom,PS,1996.0,Fighting,Vic Tokai,0.07,0.05,0.0,0.01,0.12,,,,,,,,,,,--,(0),--,,,,CD,Voix en anglais Textes en anglais
9595,SCORE International Baja 1000: The Official Game,X360,2008.0,Racing,Activision,0.11,0.01,0.0,0.01,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9596,Disney Sing It: Party Hits,PS3,2010.0,Misc,Disney Interactive Studios,0.1,0.01,0.0,0.01,0.12,,,,,,,,,,,--,(1),20,+3 ans,,,Blu-Ray,
9597,Sleeping Dogs,PC,2012.0,Action,Square Enix,0.06,0.05,0.0,0.02,0.12,,,,,,,,,,,16,(425),16.3,+18 ans,,Jouable en solo,DVD,Textes en français Voix en anglais
9598,Mega Man X: Command Mission,GC,2004.0,Role-Playing,Capcom,0.1,0.02,0.0,0.0,0.12,,,,,,,,,,,15,(6),17.3,+7 ans,,Jouable en solo,Nintendo Game Disc DVD,Textes en français Voix en anglais
9599,Diner Dash: Sizzle & Serve,PSP,2007.0,Puzzle,Eidos Interactive,0.11,0.0,0.0,0.01,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9600,After Hours Athletes,PS3,2011.0,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.03,0.12,,,,,,,,,,,11,(2),13.5,+3 ans,1-8 joueurs en local ou en ligne,Multi en ligne,Blu-Ray,Voix en français Textes en français
9601,Lego Star Wars: The Force Awakens,PS3,2016.0,Action,Warner Bros. Interactive Entertainment,0.03,0.07,0.0,0.02,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9602,Worms 3D,PS2,2003.0,Strategy,Sega,0.06,0.05,0.0,0.02,0.12,,,,,,,,,,,14,(49),15.9,+3 ans,Oui,,DVD,Voix en français Textes en français
9603,Clock Tower: The First Fear,PS,1997.0,Adventure,Human Entertainment,0.0,0.0,0.12,0.01,0.12,,,,,,,,,,,--,(1),5,,,,,
9604,Kidou Senshi Gundam Seed Battle Destiny,PSV,2012.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9605,Godzilla Unleashed: Double Smash,DS,2007.0,Action,Atari,0.11,0.0,0.0,0.01,0.12,,,,,,- the only playable mode at the be...,,,,,no_data,no_data,no_data,,,,,
9606,Star Trek: Conquest,Wii,2007.0,Strategy,Bethesda Softworks,0.11,0.01,0.0,0.01,0.12,,,,,,,,,,,7,(5),13.6,+7 ans,non,Jouable en solo,DVD,Voix en anglais Textes en anglais
9607,"Kilari: Na-san, Mon Meilleur Ami",DS,2006.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,,,,,,,--,(8),18.1,+3 ans,2 joueurs,,Cartouche,Textes en français
9608,Strikers 1945,PS,1998.0,Shooter,Midas Interactive Entertainment,0.07,0.05,0.0,0.01,0.12,,,,,,,,,,,--,no_data,no_data,+7 ans,,Jouable en solo Multi sur le même écran,CD Steam,Textes en anglais Textes en japonais
9609,Ochaken no Heya DS,DS,2006.0,Simulation,MTO,0.0,0.0,0.12,0.0,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9610,Obscure: The Aftermath,Wii,2008.0,Action,Playlogic Game Factory,0.12,0.0,0.0,0.01,0.12,,,,,,,,,,,14,(32),15.2,+16 ans,2 joueurs en coopération,Multi en coopératif,UMD,Textes en français Voix en anglais
9611,Galidor: Defenders of the Outer Dimension,GBA,2002.0,Action,Electronic Arts,0.09,0.03,0.0,0.0,0.12,,,,,,,,,,,--,no_data,no_data,+3 ans,,,Cartouche,
9612,Tom Clancy's Splinter Cell Trilogy,PS3,2011.0,Action,Ubisoft,0.0,0.1,0.0,0.03,0.12,,,,,,,,,,,12,(34),16.1,+18 ans,non,Jouable en solo,Blu-Ray,
9613,WRC: FIA World Rally Championship,X360,,Racing,Black Bean Games,0.0,0.1,0.0,0.02,0.12,,,,,,,,,,,--,(5),8.8,+4 ans,,,,
9614,Fire ProWrestling S: 6Men Scramble,SAT,1996.0,Fighting,Human Entertainment,0.0,0.0,0.12,0.0,0.12,Human Entertainment · Titre Japonais : ファイヤープロレスリングS 6メン スクランブル · Type : Combat · Nombre ...,,,,,,,,,,--,(0),--,,,,CD,
9615,Blackwater,X360,2011.0,Shooter,505 Games,0.09,0.02,0.0,0.01,0.12,,,,,,,,,,,3,(7),5.6,+16 ans,1 à 8 joueurs,,DVD,Voix en anglais Textes en anglais
9616,Pryzm Chapter One: The Dark Unicorn,PS2,2002.0,Adventure,TDK Mediactive,0.06,0.05,0.0,0.02,0.12,,,,,,,,,,,--,(1),3,,,,CD,
9617,Gundam Battle Royale,PSP,2006.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,,,,,,--,(0),--,,,,UMD,
9618,Solitaire & Mahjong,Wii,2009.0,Puzzle,Crave Entertainment,0.11,0.0,0.0,0.01,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9619,Zen-Nippon Pro Wrestling: Ouja no Kon,PS,1999.0,Fighting,Human Entertainment,0.0,0.0,0.12,0.01,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9620,NASCAR 2005: Chase for the Cup,GC,2004.0,Racing,Electronic Arts,0.1,0.02,0.0,0.0,0.12,,,,,,,,,,,--,(1),18,,,,Nintendo Game Disc CD,
9621,Homefront: The Revolution,XOne,2016.0,Shooter,Deep Silver,0.05,0.07,0.0,0.01,0.12,,,,,,,,,,,11,(16),16.1,+18 ans,,Multi en ligne,DVD Blu-Ray,Textes en français
9622,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",PS2,2008.0,Misc,D3Publisher,0.0,0.0,0.12,0.0,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9623,Guilty Gear X,PS2,2001.0,Fighting,Sammy Corporation,0.06,0.05,0.0,0.02,0.12,,,,,,,,,,,15,(31),16.2,+12 ans,2 joueurs,,CD,
9624,Deadliest Catch: Sea of Chaos,Wii,2010.0,Sports,Crave Entertainment,0.12,0.0,0.0,0.01,0.12,,,,,,,,,,,--,(0),--,,,,,
9625,One Piece: Pirate Warriors 2,PSV,2013.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,,,,,,15,(195),17.1,+12 ans,,Multi sur le même écran Multi en ligne,Blu-Ray New Game Media,Textes en français Voix en japonais
9626,NHL 2002,GBA,2002.0,Sports,Electronic Arts,0.09,0.03,0.0,0.0,0.12,,,,,,,,,,,--,(1),3,,,,Cartouche,
9627,Disney's PK: Out of the Shadows,PS2,2002.0,Platform,Ubisoft,0.06,0.05,0.0,0.02,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9628,Mugen no Frontier: Super Robot Taisen OG Saga EXCEED,DS,2010.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9629,Karaoke Revolution,X360,2009.0,Misc,Konami Digital Entertainment,0.12,0.0,0.0,0.01,0.12,"Blitz Games Studios, Blitz Games",,,,Karaoke Revolution,Multijoueur,,,,,--,(2),12.5,+12 ans,,,DVD Blu-Ray,Textes en français Voix en anglais
9630,Echo Night,PS,1998.0,Adventure,From Software,0.03,0.02,0.07,0.01,0.12,,,,,,,,,,,13,(8),14.4,+7 ans,Non,Jouable en solo,DVD,Voix en anglais Textes en anglais
9631,Are You Smarter than a 5th Grader? Game Time,X360,2009.0,Puzzle,THQ,0.12,0.0,0.0,0.01,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9632,Rocket League,XOne,2016.0,Sports,505 Games,0.03,0.09,0.0,0.01,0.12,Psyonix,,,,Supersonic Acrobatic Rocket-Powered Battle-Cars,"Solo, Multijoueur",,,,,16,(207),15.5,,,Jouable en solo Multi en local Multi en ligne Multi en compétitif,,
9633,Wild ARMs 5 (jp sales),PS2,2006.0,Role-Playing,505 Games,0.0,0.0,0.12,0.0,0.12,,,,,,,,,,,no_data,no_data,no_data,,,,,
9634,Tom Clancy's Splinter Cell: Blacklist,WiiU,2013.0,Action,Ubisoft,0.05,0.07,0.0,0.01,0.12,,,,,,,,,,,--,(19),16.3,+18 ans,8 joueurs,Jouable en solo Multi en ligne Multi en coopératif Multi en compétitif,iDensity,Voix en français Textes en français
9635,Gladiator Begins,PSP,2010.0,Action,PQube,0.05,0.01,0.05,0.01,0.12,,,,,,,,,,,11,(13),14.6,+16 ans,2 joueurs,,UMD,Textes en anglais
9636,Colony Wars III: Red Sun,PS,2000.0,Simulation,Psygnosis,0.07,0.05,0.0,0.01,0.12,,,,,,,,,,,--,(3),19.7,+3 ans,,,CD,
