,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,developpeur_goo,distributeur_goo,langue_goo,PEGI_goo,game_series_goo,game_mode_goo,developpeur_wiki,langue_wiki,PEGI_wiki,game_mode_wiki,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
2321,LEGO Jurassic World,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.01,0.14,0.89,"TT Games, TT Fusion, Feral Interactive",,,,,Multijoueur,,,,,15,(11),17,+7 ans,2,Jouable en solo Multi sur le même écran,,
2322,Castlevania: Circle of the Moon,GBA,2001.0,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89,,,,,,,,,,,16,(1),17,,,,,
2323,Sonic Chronicles: The Dark Brotherhood,DS,2008.0,Role-Playing,Sega,0.51,0.29,0.01,0.09,0.89,,,,,,,BioWare,Français intégrale.,7+ ?1,Un joueur,13,(101),15.4,+7 ans,2 joueurs (échanges de Chaos uniquement),,Cartouche,Voix en français Textes en français
2324,Tiger Woods PGA Tour 06,PS2,2005.0,Sports,Electronic Arts,0.74,0.03,0.0,0.12,0.89,,,,,,,,,,,16,(4),16.3,+3 ans,2 joueurs + online,Multi en ligne,,
2325,Classic NES Series: The Legend of Zelda,GBA,2004.0,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89,,,,,,,,,,,no_data,no_data,no_data,,,,,
2326,The Jak and Daxter Collection,PS3,2012.0,Platform,Sony Computer Entertainment,0.6,0.19,0.0,0.1,0.89,,,,,,,Naughty Dog,Français (textes et voix),12 ?,Un joueur,16,(313),18.4,+12 ans,non,Jouable en solo,Blu-Ray,Voix en français Textes en français
2327,Fire Emblem: The Sacred Stones,GBA,2004.0,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89,,,,,,,Intelligent Systems,"Japonais, Anglais, Allemand, Français, Espagnol, Italien",7+ ?,1 à 4 joueurs,17,(143),17.9,+3 ans,2 à 4 joueurs,,Cartouche,Textes en français
2328,Pokemon Card GB2: Here Comes Team GR!,GB,2001.0,Strategy,Nintendo,0.0,0.0,0.89,0.0,0.89,Hudson Soft,,,,,,,,,,no_data,no_data,no_data,,,,,
2329,Finding Nemo,GC,2003.0,Action,THQ,0.69,0.18,0.0,0.02,0.89,,,,,,,,,,,7,(3),5.7,+3 ans,Non,Jouable en solo,Cartouche,Voix en français Textes en français
2330,CSI: Hard Evidence,Wii,2008.0,Adventure,Ubisoft,0.36,0.43,0.0,0.1,0.89,"Telltale Games, TransGaming Inc.",,,,,Solo,Telltale Games,Français,,Un joueur,12,(12),12.6,+16 ans,Non,Jouable en solo,DVD,Textes en français Voix en anglais
