,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,description_JVC,Classification_Age_JVC,max_joueurs_JVC,Mode_JVC,Support_JVC,Langue_JVC
48,7315,Dark Summit,PS2,2001.0,Sports,THQ,0.11,0.08,0.0,0.03,0.21,no_data,no_data,no_data,no_data,,,,,
49,7316,Afrika,PS3,2008.0,Adventure,Unknown,0.12,0.0,0.08,0.01,0.21,18,(28),18.1,"Editeur(s) / Développeur(s) Rhino Studios Sony
Sortie France Le jeu est annulé
Genre(s) Simulation
Mode(s) Jouable en solo
Nombre maximum de joueurs non
Web Site officiel
Support(s) Blu-Ray
Date de sortie (aux Etats-Unis) octobre 2009
Date de sortie (au Japon) 28 août 2008
Langue de la version disponible en France Voix en japonais Textes en japonais",,non,Jouable en solo,Blu-Ray,Voix en japonais Textes en japonais
50,7317,Cabela's Big Game Hunter: Ultimate Challenge,PS,2001.0,Sports,Activision Value,0.12,0.08,0.0,0.01,0.21,no_data,no_data,no_data,no_data,,,,,
51,7318,The Legend of Heroes: Trails in the Sky First Chapter,PSP,2006.0,Role-Playing,Ghostlight,0.1,0.03,0.06,0.03,0.21,17,(21),17.1,"Editeur(s) / Développeur(s) Falcom Ghostlight Xseed Games
Sortie France 28 oct. 2011
Genre(s) RPG
Classification +12 ans
Web Site officiel
Support(s) UMD
Date de sortie (aux Etats-Unis) 29 mars 2011",+12 ans,,,UMD,
52,7319,Are You Smarter Than a 5th Grader? Back to School,Wii,2010.0,Misc,Nintendo,0.2,0.0,0.0,0.02,0.21,--,(0),--,"Editeur(s) / Développeur(s) THQ
Sortie France Date de sortie inconnue
Genre(s) Autres
Support(s) DVD
Date de sortie (aux Etats-Unis) 09 novembre 2010",,,,DVD,
53,7320,Steins;Gate,PSV,2013.0,Adventure,PQube,0.07,0.09,0.0,0.05,0.21,--,(1),14,"Editeur(s) / Développeur(s) 5pb
Sortie France 12 févr. 2019
Genre(s) Visual Novel
Date de sortie (au Japon) 2018",,,,,
54,7321,The Dukes of Hazzard: Return of the General Lee,PS2,2004.0,Racing,Ubisoft,0.11,0.08,0.0,0.03,0.21,no_data,no_data,no_data,no_data,,,,,
55,7322,Pandemonium!,PS,1996.0,Platform,BMG Interactive Entertainment,0.12,0.08,0.0,0.01,0.21,15,(6),16,"Editeur(s) / Développeur(s) Ideaworks3D Eidos Interactive BMG Interactive Crystal Dynamics Electronic Arts
Sortie France 1996
Genre(s) Plate-Forme Action
Classification +3 ans
Support(s) CD Cartouche PlayStation Store App Store
Langue de la version disponible en France Textes en français",+3 ans,,,CD Cartouche PlayStation Store App Store,Textes en français
56,7323,SingStar: Back to the 80s,PS3,2011.0,Misc,Sony Computer Entertainment,0.0,0.16,0.0,0.05,0.21,8,no_data,no_data,"Editeur(s) / Développeur(s) Sony
Sortie France 26 oct. 2011
Genre(s) Party-Game Autres
Classification +12 ans
Nombre maximum de joueurs 1 à 8 joueurs
Support(s) Blu-Ray
Langue de la version disponible en France Voix en français Textes en français",+12 ans,1 à 8 joueurs,,Blu-Ray,Voix en français Textes en français
57,7324,Namco Museum: 50th Anniversary,GC,2005.0,Misc,Namco Bandai Games,0.17,0.04,0.0,0.01,0.21,6,(1),14,"Editeur(s) / Développeur(s) Digital Eclipse Namco
Sortie France 12 mai 2006
Genre(s) Compilation
Classification +3 ans
Mode(s) Jouable en solo
Support(s) Nintendo Game Disc Cartouche CD
Langue de la version disponible en France Voix en français Textes en français Textes en anglais",+3 ans,,Jouable en solo,Nintendo Game Disc Cartouche CD,Voix en français Textes en français Textes en anglais
